PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1149:2007_6_17_6_27,CCSP,0,0,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2007_6_20_6_15,CCSP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1150:2007_6_20_6_45,CCSP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1150:2007_6_20_9_0,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2007_6_20_9_29,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_4_45,CCSP,0,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1150:2015_6_10_5_38,CCSP,2,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_6_32,CCSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_6_8,CCSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_8_26,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_8_3,CCSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_4_51,CCSP,3,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_5_12,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_5_36,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_6_2,CCSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_6_22,CCSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_6_50,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_7_15,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_7_36,CCSP,0,0,0,1,0,0,0,0,1,0,Y
ABMI:PUBLIC:1157:2011_5_30_8_3,CCSP,3,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_4_44,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_5_25,CCSP,0,0,1,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_5_45,CCSP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_5_5,CCSP,1,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_6_10,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_6_31,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_6_51,CCSP,1,1,0,0,0,0,0,0,0,0,Y
